,Santo Antônio,Centro,Macedo,Izabel,Restinga,Canudos,Rui Ramos,Vila Nova,Área Militar,Boa Vista,Joaquim Fonseca Milano,Vera Cruz,Sepé Tiarajú,Ibirapuitã,Oswaldo Aranha,Promorar,Honório Lemes,Airton Senna,Getúlio Vargas,Nova Brasília,Centenário,Tancredo Neves,Capão do Angico,Segabinazi,Santos Dumont,Dr. Romário,Palma,Favila,Saint Pastous,N.S. Conceição Aparecida,Ulisses Guimarães,Balneário Caverá,Projetado,Cidade Alta,Assunção,Medianeira,Praça da Lagoa,Área Militar,Atlântida,Olhos D'água,Piola,Gamino,Renascer,Alberto Grande,Independência,São João,Porto dos Aguateiros,José de Abreu,Anita Garibaldi,Fronteira Oeste,Novo Lar,Lara,Vila Fenix,Inez,Kennedy,Jardim Planalto,Pedreiras,Emílio Zuneda,Canjiqueira,Cel. Enio,Saudade,Liberdade,Prado,Progresso,Vila Grande
Segabinazi,5621,4424,5946,6112,6589,6608,6869,6250,7439,6946,6632,7250,7738,2694,3222,2983,3297,3609,3571,3124,2592,5684,2606,0,2205,3475,4239,3865,4085,10374,16403,12789,1462,7331,7520,8634,8268,7439,10498,10207,8679,8974,9820,9155,6313,6655,5469,9893,11304,9520,9769,8426,14269,8807,9101,9427,9486,8059,8211,9334,8693,8910,9281,8778,8182
Santos Dumont,5443,4246,5768,5934,6411,6430,6691,6072,7261,6768,6454,7072,7560,2516,3044,2805,3119,3431,3393,2946,2298,5506,1274,1961,0,4769,4957,4379,3433,9722,15751,12611,1284,7153,7342,8456,8090,7261,10320,10029,8501,8796,9642,8977,6135,6477,5291,9715,11126,9342,9591,8248,14091,8629,8923,9249,9308,7881,8033,9156,8515,8732,9103,8600,8004
Dr. Romário,8800,7603,9125,9291,9768,9787,10048,9429,10618,10125,9811,10429,10917,5873,6401,6162,6476,6788,6750,6303,5655,8863,3446,3616,4374,0,764,390,1333,7622,13651,15968,4641,10510,10699,11813,11447,10618,13677,13386,11858,12153,12999,12334,9492,9834,8648,13072,14483,12699,12948,11605,17448,11986,12280,12606,12665,11238,11390,12513,11872,12089,12460,11957,11361
Palma,8988,7791,9313,9479,9956,9975,10236,9617,10806,10313,9999,10617,11105,6061,6589,6350,6664,6976,6938,6491,5843,9051,3634,4380,4562,764,0,578,1521,7810,13839,16156,4829,10698,10887,12001,11635,10806,13865,13574,12046,12341,13187,12522,9680,10022,8836,13260,14671,12887,13136,11793,17636,12174,12468,12794,12853,11426,11578,12701,12060,12277,12648,12145,11549
Favila,8410,7213,8735,8901,9378,9397,9658,9039,10228,9735,9421,10039,10527,5483,6011,5772,6086,6398,6360,5913,5265,8473,3056,4006,3984,390,578,0,943,7232,13261,15578,4251,10120,10309,11423,11057,10228,13287,12996,11468,11763,12609,11944,9102,9444,8258,12682,14093,12309,12558,11215,17058,11596,11890,12216,12275,10848,11000,12123,11482,11699,12070,11567,10971
Saint Pastous,7467,6270,7792,7958,8435,8454,8715,8096,9285,8792,8478,9096,9584,4540,5068,4829,5143,5455,5417,4970,4322,7530,2113,4194,3041,1336,1524,946,0,6289,12318,14635,3308,9177,9366,10480,10114,9285,12344,12053,10525,10820,11666,11001,8159,8501,7315,11739,13150,11366,11615,10272,16115,10653,10947,11273,11332,9905,10057,11180,10539,10756,11127,10624,10028
N.S. Conceição Aparecida,13324,12127,13649,13815,14292,14311,14572,13953,15142,14649,14335,14953,15441,10397,10925,10686,11000,11312,11274,10827,10179,13387,7970,10051,8898,7193,7381,6803,5857,0,6029,20492,9165,15034,15223,16337,15971,15142,18201,17910,16382,16677,17523,16858,14016,14358,13172,17596,19007,17223,17472,16129,21972,16510,16804,17130,17189,15762,15914,17037,16396,16613,16984,16481,15885
Ulisses Guimarães,19787,18590,20112,20278,20755,20774,21035,20416,21605,21112,20798,21416,21904,16860,17388,17149,17463,17775,17737,17290,16642,19850,14433,16514,15361,13656,13844,13266,12320,6463,0,26955,15628,21497,21686,22800,22434,21605,24664,24373,22845,23140,23986,23321,20479,20821,19635,24059,25470,23686,23935,22592,28435,22973,23267,23593,23652,22225,22377,23500,22859,23076,23447,22944,22348
Balneário Caverá,9139,7942,8791,8168,8645,10126,10387,9768,11269,8922,7922,7723,7818,9971,10499,11042,11727,12161,12249,12695,10615,9202,12298,12798,12277,15793,15981,15403,14457,20746,26775,0,11154,6212,5303,4189,5819,6792,8066,9114,8032,8327,9173,7199,6683,6152,7064,9246,9372,7564,8021,6470,12313,6851,7353,7679,7738,7076,7092,8215,6945,7431,8337,8178,7758
Projetado,4159,2962,4484,4650,5127,5146,5407,4788,5977,5484,5170,5788,6276,1232,1760,1521,1835,2147,2109,1662,1130,4222,1144,1644,1123,4639,4827,4249,3303,9592,15621,11327,0,5869,6058,7172,6806,5977,9036,8745,7217,7512,8358,7693,4851,5193,4007,8431,9842,8058,8307,6964,12807,7345,7639,7965,8024,6597,6749,7872,7231,7448,7819,7316,6720
Cidade Alta,3359,2424,2579,1956,2433,4608,4869,4250,5751,2710,1710,1511,1606,4453,4981,5524,6209,6643,6731,7177,5097,3684,6780,7280,6759,10275,10463,9885,8939,15228,21257,5815,5636,0,546,1660,1060,2033,3307,4355,3273,3568,4414,1824,977,981,1547,4487,3997,2189,2438,1095,6938,1476,1770,2096,2155,864,880,2003,1362,1579,2645,2142,1546
Assunção,3836,2639,3758,3135,3612,4823,5084,4465,5966,3889,2889,2690,2785,4668,5196,5739,6424,6858,6946,7392,5312,3899,6995,7495,6974,10490,10678,10100,9154,15443,21472,5269,5851,1179,0,1114,1042,2015,3289,4337,3255,3550,4396,2422,1380,849,1761,4469,4595,2787,3244,1693,7536,2074,2576,2902,2961,2043,2059,3182,2168,2654,3560,3321,2725
Medianeira,4950,3753,4602,3979,4456,5937,6198,5579,7080,4733,3733,3534,3629,5782,6310,6853,7538,7972,8060,8506,6426,5013,8109,8609,8088,11604,11792,11214,10268,16557,22586,4155,6965,2023,1114,0,1630,2603,3877,4925,3843,4138,4984,3010,2494,1963,2875,5057,5183,3375,3832,2281,8124,2662,3164,3490,3549,2887,2903,4026,2756,3242,4148,3989,3569
